,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time
Exp#138,0,0,0,10,0,0,10,15,15,15,5,-1.1,150
Exp#139,0,0,5,5,10,0,20,25,0,0,5,-1.2,60
Exp#140,0,10,15,0,0,15,5,10,0,10,5,-1.2,60
Exp#141,20,0,0,10,0,10,10,0,5,15,0,-1.4,150
Exp#142,25,5,5,5,0,0,0,0,10,10,10,-1.2,150
Exp#143,5,0,15,0,0,5,0,15,5,20,5,-1.2,90
Exp#144,30,5,0,0,5,0,5,25,0,0,0,-1.5,90
Exp#145,15,0,20,0,5,0,0,15,10,0,5,-1.5,60
Exp#146,5,5,0,5,10,0,0,0,25,20,0,-1.5,120
Exp#147,5,5,10,5,15,0,0,10,15,5,0,-1.5,90
Exp#148,5,5,5,0,0,5,0,30,15,5,0,-1.3,60
Exp#149,15,15,0,0,0,5,5,10,10,0,10,-1.4,60
Exp#150,5,5,0,10,5,10,0,15,5,10,5,-1.3,150
Exp#151,5,0,0,0,5,0,15,15,15,0,15,-1.2,90
Exp#152,0,15,0,0,10,0,0,0,35,10,0,-1.2,90
Exp#153,0,5,0,0,10,20,5,10,10,5,5,-1.2,60
Exp#154,5,5,5,0,5,15,0,10,0,20,5,-1.5,120
Exp#155,5,5,0,5,30,0,0,0,20,5,0,-1.5,150
Exp#156,5,0,5,20,0,0,5,20,0,0,15,-1.4,120
Exp#157,0,15,0,5,0,5,15,5,15,5,5,-1.2,150
Exp#158,25,5,0,0,0,15,0,0,10,15,0,-1.2,150
Exp#159,0,0,15,10,0,0,15,0,5,15,10,-1.3,90
Exp#160,5,5,0,10,5,5,5,0,5,15,15,-1.3,60
Exp#161,0,20,5,0,5,5,0,25,0,0,10,-1.2,150
Exp#162,0,5,0,35,0,10,0,0,15,5,0,-1.4,150
Exp#163,0,5,10,0,0,0,25,5,20,5,0,-1.4,120
Exp#164,10,0,5,0,0,0,10,25,5,0,15,-1.1,150
Exp#165,15,10,15,0,10,0,0,0,0,20,0,-1.3,90
Exp#166,0,5,25,0,0,0,0,0,5,25,10,-1.1,90
Exp#167,5,0,10,5,0,0,0,5,0,45,0,-1.5,120
Exp#168,0,5,0,25,5,0,0,10,0,15,10,-1.1,150
Exp#169,0,0,0,0,0,30,15,0,5,20,0,-1.3,150
Exp#170,10,0,5,5,5,0,10,0,0,20,15,-1.3,120
Exp#171,0,5,5,10,5,10,0,10,0,15,10,-1.2,120
Exp#172,5,10,0,5,5,25,0,0,20,0,0,-1.2,150
Exp#173,0,10,10,0,0,5,10,10,0,15,10,-1.1,150
Exp#174,0,0,20,5,5,0,0,25,0,0,15,-1.2,150
Exp#175,5,5,0,20,0,5,0,10,25,0,0,-1.3,120
Exp#176,10,0,0,25,0,0,0,15,0,15,5,-1.4,90
Exp#177,25,5,0,0,0,0,5,25,0,0,10,-1.1,90
Exp#178,10,5,0,15,5,0,10,15,5,5,0,-1.5,60
Exp#179,10,0,15,10,5,10,0,0,5,15,0,-1.1,60
Exp#180,0,15,0,5,0,10,0,15,0,20,5,-1.1,150
Exp#181,0,0,5,10,25,5,5,5,10,5,0,-1.2,150
Exp#182,10,0,0,5,35,0,0,0,15,5,0,-1.5,90
Exp#183,20,0,10,5,0,5,0,20,0,0,10,-1.2,60
Exp#184,0,5,5,5,15,10,0,15,5,5,5,-1.4,90
Exp#185,0,0,0,0,20,10,0,0,20,15,5,-1.4,60
Exp#186,0,5,0,10,10,0,10,15,5,5,10,-1.1,60
Exp#187,0,30,5,0,10,0,0,0,10,10,5,-1.2,90
Exp#188,5,0,10,0,10,15,5,0,5,20,0,-1.3,90
Exp#189,20,0,10,0,5,0,10,15,10,0,0,-1.2,60
Exp#190,0,0,10,5,10,10,5,10,5,5,10,-1.2,150
Exp#191,20,0,0,0,20,5,0,0,25,0,0,-1.5,90
Exp#192,0,10,0,0,0,5,10,0,0,20,25,-1.3,60
Exp#193,20,5,0,0,0,10,0,20,0,5,10,-1.4,120
Exp#194,0,15,0,5,10,0,5,0,15,15,5,-1.2,120
