May 5, 2025   07:16:17
Amperometric i-t Curve
File: c:/users/guazh/data/banditlqround7_x0exp1108_r5/2025-04-30-exp1246\exp1246deposition-2025-05-05t07_11_48-deposition\exp1246deposition_it_edep_-150mv.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -1.5
Sample Interval (s) = 0.1
Run Time (sec) = 102
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Comp R (ohm) = 15.5

Results:

Channel 1:

Time/sec, Current/A

6.180e+1, 1.011e-2
6.190e+1, 1.011e-2
6.200e+1, 1.011e-2
6.210e+1, 1.011e-2
6.220e+1, 1.011e-2
6.230e+1, 1.011e-2
6.240e+1, 1.011e-2
6.250e+1, 1.011e-2
6.260e+1, 1.011e-2
6.270e+1, 1.011e-2
6.280e+1, 1.011e-2
6.290e+1, 1.011e-2
6.300e+1, 1.011e-2
6.310e+1, 1.011e-2
6.320e+1, 1.011e-2
6.330e+1, 1.011e-2
6.340e+1, 1.011e-2
6.350e+1, 1.011e-2
6.360e+1, 1.011e-2
6.370e+1, 1.011e-2
6.380e+1, 1.011e-2
6.390e+1, 1.011e-2
6.400e+1, 1.011e-2
6.410e+1, 1.011e-2
6.420e+1, 1.011e-2
6.430e+1, 1.011e-2
6.440e+1, 1.011e-2
6.450e+1, 1.011e-2
6.460e+1, 1.011e-2
6.470e+1, 1.011e-2
6.480e+1, 1.011e-2
6.490e+1, 1.011e-2
6.500e+1, 1.011e-2
6.510e+1, 1.011e-2
6.520e+1, 1.011e-2
6.530e+1, 1.011e-2
6.540e+1, 1.011e-2
6.550e+1, 1.011e-2
6.560e+1, 1.011e-2
6.570e+1, 1.011e-2
6.580e+1, 1.011e-2
6.590e+1, 1.011e-2
6.600e+1, 1.011e-2
6.610e+1, 1.011e-2
6.620e+1, 1.011e-2
6.630e+1, 1.011e-2
6.640e+1, 1.011e-2
6.650e+1, 1.011e-2
6.660e+1, 1.011e-2
6.670e+1, 1.011e-2
6.680e+1, 1.011e-2
6.690e+1, 1.011e-2
6.700e+1, 1.011e-2
6.710e+1, 1.011e-2
6.720e+1, 1.011e-2
6.730e+1, 1.011e-2
6.740e+1, 1.011e-2
6.750e+1, 1.011e-2
6.760e+1, 1.011e-2
6.770e+1, 1.011e-2
6.780e+1, 1.011e-2
6.790e+1, 1.011e-2
6.800e+1, 1.011e-2
6.810e+1, 1.011e-2
6.820e+1, 1.011e-2
6.830e+1, 1.011e-2
6.840e+1, 1.011e-2
6.850e+1, 1.011e-2
6.860e+1, 1.011e-2
6.870e+1, 1.011e-2
6.880e+1, 1.011e-2
6.890e+1, 1.011e-2
6.900e+1, 1.011e-2
6.910e+1, 1.011e-2
6.920e+1, 1.011e-2
6.930e+1, 1.011e-2
6.940e+1, 1.011e-2
6.950e+1, 1.011e-2
6.960e+1, 1.011e-2
6.970e+1, 1.011e-2
6.980e+1, 1.011e-2
6.990e+1, 1.011e-2
7.000e+1, 1.011e-2
7.010e+1, 1.011e-2
7.020e+1, 1.011e-2
7.030e+1, 1.011e-2
7.040e+1, 1.011e-2
7.050e+1, 1.011e-2
7.060e+1, 1.011e-2
7.070e+1, 1.011e-2
7.080e+1, 1.011e-2
7.090e+1, 1.011e-2
7.100e+1, 1.011e-2
7.110e+1, 1.011e-2
7.120e+1, 1.011e-2
7.130e+1, 1.011e-2
7.140e+1, 1.011e-2
7.150e+1, 1.011e-2
7.160e+1, 1.011e-2
7.170e+1, 1.011e-2
7.180e+1, 1.011e-2
7.190e+1, 1.011e-2
7.200e+1, 1.011e-2
7.210e+1, 1.011e-2
7.220e+1, 1.011e-2
7.230e+1, 1.011e-2
7.240e+1, 1.011e-2
7.250e+1, 1.011e-2
7.260e+1, 1.011e-2
7.270e+1, 1.011e-2
7.280e+1, 1.011e-2
7.290e+1, 1.011e-2
7.300e+1, 1.011e-2
7.310e+1, 1.011e-2
7.320e+1, 1.011e-2
7.330e+1, 1.011e-2
7.340e+1, 1.011e-2
7.350e+1, 1.011e-2
7.360e+1, 1.011e-2
7.370e+1, 1.011e-2
7.380e+1, 1.011e-2
7.390e+1, 1.011e-2
7.400e+1, 1.011e-2
7.410e+1, 1.011e-2
7.420e+1, 1.011e-2
7.430e+1, 1.011e-2
7.440e+1, 1.011e-2
7.450e+1, 1.011e-2
7.460e+1, 1.011e-2
7.470e+1, 1.011e-2
7.480e+1, 1.011e-2
7.490e+1, 1.011e-2
7.500e+1, 1.011e-2
7.510e+1, 1.011e-2
7.520e+1, 1.011e-2
7.530e+1, 1.011e-2
7.540e+1, 1.011e-2
7.550e+1, 1.011e-2
7.560e+1, 1.011e-2
7.570e+1, 1.011e-2
7.580e+1, 1.011e-2
7.590e+1, 1.011e-2
7.600e+1, 1.011e-2
7.610e+1, 1.011e-2
7.620e+1, 1.011e-2
7.630e+1, 1.011e-2
7.640e+1, 1.011e-2
7.650e+1, 1.011e-2
7.660e+1, 1.011e-2
7.670e+1, 1.011e-2
7.680e+1, 1.011e-2
7.690e+1, 1.011e-2
7.700e+1, 1.011e-2
7.710e+1, 1.011e-2
7.720e+1, 1.011e-2
7.730e+1, 1.011e-2
7.740e+1, 1.011e-2
7.750e+1, 1.011e-2
7.760e+1, 1.011e-2
7.770e+1, 1.011e-2
7.780e+1, 1.011e-2
7.790e+1, 1.011e-2
7.800e+1, 1.011e-2
7.810e+1, 1.011e-2
7.820e+1, 1.011e-2
7.830e+1, 1.011e-2
7.840e+1, 1.011e-2
7.850e+1, 1.011e-2
7.860e+1, 1.011e-2
7.870e+1, 1.011e-2
7.880e+1, 1.011e-2
7.890e+1, 1.011e-2
7.900e+1, 1.011e-2
7.910e+1, 1.011e-2
7.920e+1, 1.011e-2
7.930e+1, 1.011e-2
7.940e+1, 1.011e-2
7.950e+1, 1.011e-2
7.960e+1, 1.011e-2
7.970e+1, 1.011e-2
7.980e+1, 1.011e-2
7.990e+1, 1.011e-2
8.000e+1, 1.011e-2
8.010e+1, 1.011e-2
8.020e+1, 1.011e-2
8.030e+1, 1.011e-2
8.040e+1, 1.011e-2
8.050e+1, 1.011e-2
8.060e+1, 1.011e-2
8.070e+1, 1.011e-2
8.080e+1, 1.011e-2
8.090e+1, 1.011e-2
8.100e+1, 1.011e-2
8.110e+1, 1.011e-2
8.120e+1, 1.011e-2
8.130e+1, 1.011e-2
8.140e+1, 1.011e-2
8.150e+1, 1.011e-2
8.160e+1, 1.011e-2
8.170e+1, 1.011e-2
8.180e+1, 1.011e-2
8.190e+1, 1.011e-2
8.200e+1, 1.011e-2
8.210e+1, 1.011e-2
8.220e+1, 1.011e-2
8.230e+1, 1.011e-2
8.240e+1, 1.011e-2
8.250e+1, 1.011e-2
8.260e+1, 1.011e-2
8.270e+1, 1.011e-2
8.280e+1, 1.011e-2
8.290e+1, 1.011e-2
8.300e+1, 1.011e-2
