Experiment,Overpotential @ 50 mA_Ar,Cdl mF cm-2_Ar
exp120,-0.7857,0.18136247107992906
exp121,-0.9197,0.1590967418207702
exp122,-0.9537,0.15761782821838796
exp123,-0.7507,0.17609068438145317
exp124,-0.3786999999999999,18.30528390348148
exp125,-0.6977000000000001,0.21980809387413994
exp126,-0.7757,0.19635117679623712
exp127,-0.3686999999999999,29.042294045350108
exp128,-0.3646999999999999,12.811865973721998
exp129,-0.7257000000000001,0.1676686172944795
exp130,-0.7556999999999999,0.22655050213113886
exp131,-0.7476999999999999,0.24029195604622364
exp132,-0.5747000000000001,2.585700622107923
exp133,-0.6707,0.5376964809400495
exp134,-0.6677000000000001,0.5828299490766957
exp135,-0.8997,0.1455039478850322
exp136,-0.7357000000000001,0.19572227455146876
exp137,-0.5767000000000001,8.89308085917124
exp138,-0.7656999999999999,0.9139029300304098
exp139,-0.5787000000000001,3.7958485563209368
exp140,-0.5307000000000001,2.648080212215487
exp141,-0.6446999999999999,1.1303701531033477
exp142,-0.7487,0.15814750625674523
exp143,-0.8467000000000001,0.15813718867545226
exp144,-0.6807,0.2204516993504435
exp145,-0.7867000000000001,0.16579388293320022
exp146,-0.7007,0.15281677099346583
exp147,-0.6957000000000001,0.18874275181888742
exp148,-0.7997,0.13706513394393857
exp149,-0.7727,0.17516788027239133
exp150,-0.4447,13.18595570002605
exp151,-0.6306999999999999,0.7718961086912989
exp152,-0.7596999999999999,0.14596652999597065
exp153,-0.3577,14.295966489168732
exp154,-0.5207,1.3123749998689962
exp155,-0.6857000000000001,0.4354992648334515
exp156,-0.4597000000000001,32.15795130763728
exp157,-0.3777,21.786959125407876
exp158,-0.7596999999999999,0.24095836690379221
exp159,-0.6117,3.31202054709511
exp160,-0.6077,1.4466843177966535
exp161,-0.4206999999999999,4.372880766202864
exp162,-0.4817000000000001,8.51812458263473
exp163,-0.7297000000000001,0.17581977779255611
exp164,-0.6647,3.13003288122732
exp165,-0.5417,0.23795618585482042
exp166,-0.8177,0.14534981714609663
exp167,-0.7017000000000001,0.24194143979401628
exp168,-0.4246999999999999,2.9634460817728563
exp169,-0.3247000000000001,7.246006867940943
exp170,-0.4046999999999999,10.81498926382421
exp171,-0.4157,8.26820229025329
exp172,-0.8477,0.14411680740494173
exp173,-0.5447000000000001,4.4140372453164405
exp174,-0.5517,4.674827992830729
exp175,-0.7787000000000001,0.1379566869040562
exp176,-0.8257,0.10680712227899666
exp177,-0.8837,0.40362458493562137
exp178,-0.6346999999999999,2.6353764754883864
exp179,-0.7887000000000001,0.14906227459764154
exp181,-0.4417000000000001,13.411528229280847
exp182,-0.7187,1.6179310288788549
exp183,-0.7997,0.14300431081115572
exp184,-0.4286999999999999,12.241044296712293
exp185,-0.7516999999999999,0.1477720162963061
exp186,-0.6867,0.5029355820112028
exp187,-0.7467,0.14897878447663337
exp188,-0.4126999999999999,10.632531293484034
exp189,-0.7797,0.15203641099576404
exp190,-0.3846999999999999,14.752746249195013
exp191,-0.7516999999999999,0.13976206469345906
exp192,-0.6867,0.8026764829491452
exp193,-0.8287000000000001,0.1454521203502612
exp194,-0.7777,0.14237546915165697
exp195,-0.8067000000000001,0.5240750129900478
exp196,-0.3637,17.774035621486487
exp197,-0.8187000000000001,0.19974142007233275
exp198,-0.6326999999999999,4.489218322417327
exp199,-0.8097,0.25125285345212045
exp200,-0.8706999999999999,0.14230345406190123
exp201,-0.5747000000000001,3.6576917119568453
exp202,-0.7887000000000001,0.23172859868081971
exp203,-0.5527000000000001,8.566271245680138
exp204,-0.7817,0.21407619368847422
exp205,-0.8557,0.1742289351619238
exp206,-0.7307,0.9043413896272424
exp207,-0.3567000000000001,22.893491234863397
exp208,-0.6797000000000001,0.2721294347789022
exp209,-0.4387,31.594111314536253
exp210,-0.5567000000000001,4.747854675766112
exp211,-0.7476999999999999,0.2597556707590196
exp212,-0.4557000000000001,4.0849187904306845
exp213,-0.5747000000000001,3.265565840785514
exp215,-0.8857,0.15583371314646885
exp216,-0.6417,1.791661609491989
exp218,-0.7207,0.8111044548394364
exp220,-0.7667,0.2729047363585758
exp221,-0.7817,0.14061709468176065
exp222,-0.8347000000000001,0.1412060016048346
exp223,-0.5497,2.496086776975067
exp224,-0.5717,1.022332128003827
exp226,-0.4867,6.772500075122566
exp230,-0.6406999999999999,0.4147975940894253
exp232,-0.9147,0.1388649469309512
exp233,-0.7247,0.7225694344533358
exp234,-0.8447000000000001,0.14982426550275918
exp235,-0.8267000000000001,0.21772697171670818
exp237,-0.6807,1.094759098135644
exp238,-0.6537000000000001,1.4102621707262724
exp239,-0.6537000000000001,1.6049069678750787
exp240,-0.7436999999999999,4.405043678268697
exp241,-0.8097,0.19312415657107398
exp242,-0.7257000000000001,1.063719238064687
exp243,-0.5837,0.8154665401241079
exp244,-0.8137,0.18036725400768677
