Experiment,Overpotential V at 2.0 mA/cm2,Overpotential V at 10.0 mA/cm2,Overpotential V at 50.0 mA/cm2
exp341,-0.6027000000000001,-0.6767,-0.7656999999999999
exp342,-0.3797,-0.4747,-0.6107000000000001
exp343,-0.2687,-0.3497,-0.4777000000000001
exp344,-0.5697,-0.6597000000000001,-0.7507
exp345,-0.6037,-0.6787,-0.7747
exp346,-0.7396999999999999,-0.8107000000000001,-0.9167
exp347,-0.7227,-0.8107000000000001,-0.9187
exp348,-0.7137000000000001,-0.7787000000000001,-0.8507000000000001
exp349,-0.1037000000000001,-0.2547,-0.3517
exp350,-0.3567000000000001,-0.5027,-0.6777000000000001
exp351,-0.6587,-0.7327,-0.8387000000000001
exp352,-0.5637,-0.6517000000000001,-0.7596999999999999
exp353,-0.4817000000000001,-0.5677,-0.6517000000000001
exp354,-0.2796999999999999,-0.3677,-0.5397
exp355,-0.3297,-0.4397000000000001,-0.5747000000000001
exp356,-0.5367000000000001,-0.6146999999999999,-0.7127
exp357,-0.3287000000000001,-0.4166999999999999,-0.5657
exp358,-0.2357000000000001,-0.3107000000000001,-0.4257000000000001
exp359,-0.4006999999999999,-0.5036999999999999,-0.6627
exp360,-0.7777,-0.8157,-0.8726999999999999
exp361,-0.5016999999999999,-0.5667000000000001,-0.6537000000000001
exp362,-0.2736999999999999,-0.3726999999999999,-0.5397
exp363,-0.2836999999999999,-0.3626999999999999,-0.4827
exp364,-0.3487000000000001,-0.4407,-0.5497
exp365,-0.6647,-0.7327,-0.8177
exp366,-0.1377000000000001,-0.3247000000000001,-0.4327
exp367,-0.6166999999999999,-0.7267,-0.8357
exp369,-0.3137,-0.4137,-0.5807000000000001
exp370,-0.5136999999999999,-0.5757,-0.6607
exp371,-0.4126999999999999,-0.4827,-0.5727000000000001
exp372,-0.0587000000000001,-0.2357000000000001,-0.2967000000000001
exp373,-0.3367000000000001,-0.4457000000000001,-0.6237
exp374,-0.2756999999999999,-0.3577,-0.4857000000000001
exp375,-0.4097,-0.4767,-0.5847000000000001
exp376,-0.2907,-0.4137,-0.5747000000000001
exp377,-0.7007,-0.7887000000000001,-0.8906999999999999
exp378,-0.2087,-0.3137,-0.4317000000000001
exp379,-0.2947000000000001,-0.3777,-0.5267000000000001
exp380,-0.5957,-0.6697000000000001,-0.7507
exp381,-0.5216999999999999,-0.6277,-0.7167
exp382,-0.2936999999999999,-0.3746999999999999,-0.5407000000000001
exp383,-0.6237,-0.7107,-0.8417
exp384,-0.6266999999999999,-0.7407,-0.8387000000000001
exp385,-0.6797000000000001,-0.7357000000000001,-0.8057
exp386,-0.5647000000000001,-0.7067,-0.8407000000000001
exp387,-0.7797,-0.8447000000000001,-0.9297
exp388,-0.5987000000000001,-0.7097000000000001,-0.8547000000000001
exp389,-0.7647,-0.8637,-0.9607
exp390,-0.5817,-0.6607,-0.7777
exp391,-0.2317000000000001,-0.3257,-0.4577000000000001
exp392,-0.6017,-0.7077000000000001,-0.7716999999999999
exp393,-0.2707,-0.3537,-0.4777000000000001
exp394,-0.7396999999999999,-0.7887000000000001,-0.8497
exp395,-0.6737000000000001,-0.7917,-0.8786999999999999
exp401,-0.3926999999999999,-0.5357,-0.6617000000000001
exp402,-0.4717000000000001,-0.5557,-0.6637000000000001
exp403,-0.3497,-0.4627,-0.6286999999999999
exp404,-0.3477,-0.4847,-0.7267
exp405,-0.3786999999999999,-0.5287000000000001,-0.6777000000000001
exp406,-0.3537,-0.4737000000000001,-0.6197
exp407,-0.5857,-0.6727,-0.7456999999999999
exp408,-0.4197000000000001,-0.5657,-0.7367
exp409,-0.6617000000000001,-0.7167,-0.7847000000000001
exp410,-0.4987,-0.5957,-0.7427
exp411,-0.4617000000000001,-0.6217,-0.7616999999999999
exp412,-0.0357,-0.1817000000000002,-0.4587
exp413,-0.6897000000000001,-0.7527,-0.8287000000000001
exp414,-0.3127000000000001,-0.4017,-0.5527000000000001
exp415,-0.3067000000000001,-0.4237000000000001,-0.6177
exp416,-0.4086999999999999,-0.5707000000000001,-0.6777000000000001
exp418,-0.2396999999999999,-0.3217,-0.4507
exp419,-0.4077,-0.5307000000000001,-0.6366999999999999
exp420,-0.1917000000000001,-0.2687,-0.3737
