Experiment,V,Cr,Mg,Fe,Co,Ni,Cu,S,Se,P,blank,Volt,Time,Tafel Slope (mV/dec),Exchange Current Density (mA/cm²),R²,Overpotential @ 50 mA,Cdl mF cm-2
exp151,5,0,0,0,5,0,15,15,15,0,15,-1.2,90,156.03805565611054,0.0035722193280478,0.9995460302801856,-0.6587,1.9060098347564
exp152,0,15,0,0,10,0,0,0,35,10,0,-1.2,90,103.0051705862486,1.2417574263234996e-05,0.9969132839085004,-0.7317,0.1679099908242
exp153,0,5,0,0,10,20,5,10,10,5,5,-1.2,60,126.80893431808944,0.1637563691897617,0.9849382612743602,-0.3327,17.537768616296
exp154,5,5,5,0,5,15,0,10,0,20,5,-1.5,120,134.02268782574671,0.1905550034782153,0.992751139547392,-0.3297,5.633227576497401
exp155,5,5,0,5,30,0,0,0,20,5,0,-1.5,150,119.944797867019,0.0001921854733544,0.9972647939350052,-0.6767,0.5177951325885
exp156,5,0,5,20,0,0,5,20,0,0,15,-1.4,120,102.24247179189769,0.2136920893478607,0.0277206376019591,-0.4157,20.8254256555462
exp157,0,15,0,5,0,5,15,5,15,5,5,-1.2,150,52.18633608379031,0.0185365031213537,0.0100400251634843,-0.3677,17.3156810965329
exp158,25,5,0,0,0,15,0,0,10,15,0,-1.2,150,158.75305998561367,0.0014538353550207,0.9998811706158252,-0.7457,0.5614013002888
exp159,0,0,15,10,0,0,15,0,5,15,10,-1.3,90,133.093689299977,0.0030283283061863,0.9987493980548822,-0.5757,3.8873308693086
exp160,5,5,0,10,5,5,5,0,5,15,15,-1.3,60,134.02734174875894,0.0060375529408039,0.999269113016226,-0.5267,3.4507760101107996
exp161,0,20,5,0,5,5,0,25,0,0,10,-1.2,150,134.90161895013307,0.0974419191236023,0.9970357414858888,-0.3737,4.9402564072313
exp162,0,5,0,35,0,10,0,0,15,5,0,-1.4,150,139.03311942473937,0.2347053101569381,0.9943786627335592,-0.3197,18.0160052379529
exp163,0,5,10,0,0,0,25,5,20,5,0,-1.4,120,181.20960808948985,0.0108713958464082,0.9974970112046864,-0.6827,1.9906173471053
exp164,10,0,5,0,0,0,10,25,5,0,15,-1.1,150,169.03830795531962,0.0200543810425028,0.9888801242676548,-0.6077,7.8086361502977
exp165,15,10,15,0,10,0,0,0,0,20,0,-1.3,90,118.66355306155434,0.0103200639719681,0.9971518707225288,-0.4577,0.5531021670473
exp166,0,5,25,0,0,0,0,0,5,25,10,-1.1,90,144.7146078131183,0.0057428176586789,0.9964306107816324,-0.6177,0.2563534822376
exp167,5,0,10,5,0,0,0,5,0,45,0,-1.5,120,175.76050943237752,0.0164889445759986,0.9974115048758968,-0.6407,1.1793909621465
exp168,0,5,0,25,5,0,0,10,0,15,10,-1.1,150,276.3530754733043,1.6662857525439467,0.5503938753037534,-0.3407,17.972662353948397
exp169,0,0,0,0,0,30,15,0,5,20,0,-1.3,150,100.44383952779955,0.1213964692682089,0.9976550271360342,-0.2697,9.3118142442992
exp170,10,0,5,5,5,0,10,0,0,20,15,-1.3,120,92.47474076543593,0.0111935272055866,0.9954451717576036,-0.3457,13.873316401884
exp171,0,5,5,10,5,10,0,10,0,15,10,-1.2,120,128.371528478134,0.1217993169632534,0.9947255657928188,-0.3427,8.9395484963671
exp172,5,10,0,5,5,25,0,0,20,0,0,-1.2,150,218.6025038091879,0.0170901458601629,0.9941680097799716,-0.7847,0.1727209135014999
exp173,0,10,10,0,0,5,10,10,0,15,10,-1.1,150,194.58365432370212,0.0472003515061044,0.9987237186942032,-0.6207,4.597230919788
exp174,0,0,20,5,5,0,0,25,0,0,15,-1.2,150,137.5993791292479,0.018355739686904,0.9970457338899926,-0.4827,5.9338088313198
exp175,5,5,0,20,0,5,0,10,25,0,0,-1.3,120,145.71868632451628,0.0002642120500773,0.999335731505761,-0.8107,0.2467736667846
exp176,10,0,0,25,0,0,0,15,0,15,5,-1.4,90,176.82956284508694,0.0010176919171015,0.9939274894679552,-0.8677,0.6316126308755999
exp177,25,5,0,0,0,0,5,25,0,0,10,-1.1,90,172.70018177255318,0.0027938284667,0.9936761640371544,-0.7707,1.2761165234571
exp178,10,5,0,15,5,0,10,15,5,5,0,-1.5,60,156.9038566660346,0.009762954433528,0.9968507781258966,-0.6127,5.819334407839301
exp179,10,0,15,10,5,10,0,0,5,15,0,-1.1,60,144.1780831104287,0.0002946492824597,0.9975342627217384,-0.7847,0.3104187114025999
exp180,0,15,0,5,0,10,0,15,0,20,5,-1.1,150,,,,,
exp181,0,0,5,10,25,5,5,5,10,5,0,-1.2,150,351.3591014780468,1.8263732401258572,0.7125380111525428,-0.4137,24.771921297696
exp182,10,0,0,5,35,0,0,0,15,5,0,-1.5,90,141.3386014244873,0.0312342069796523,0.9921999685591008,-0.4697,7.8192949080508996
exp183,20,0,10,5,0,5,0,20,0,0,10,-1.2,60,127.63994441619975,0.0005946526722875,0.998699050932298,-0.6637,0.3448648110698
exp184,0,5,5,5,15,10,0,15,5,5,5,-1.4,90,127.72743363726376,0.0337146960145747,0.993742997842356,-0.4137,13.533151081805
exp185,0,0,0,0,20,10,0,0,20,15,5,-1.4,60,85.36887370517981,1.70521926301427e-06,0.9977766311516624,-0.7107,0.2067428800986999
exp186,0,5,0,10,10,0,10,15,5,5,10,-1.1,60,135.69018796696997,0.0005094640669769,0.9983539453731564,-0.6807,2.0322003646146
