Experiment,Tafel Slope (mV dec-1)_Ar,Exchange Current Density (mA cm-2)_Ar,Tafel R^2_Ar
exp311,130.70505016233537,0.0007320616236227027,0.9961856166701597
exp317,182.47312342347323,0.003262017469469175,0.9964532570670662
exp318,157.91563306091956,0.00012450126078423045,0.9978710835317524
exp319,134.7103425333091,2.4012795668644632e-05,0.9980352113824263
exp320,123.61762906893439,0.010966513757458255,0.9933429321562577
exp321,130.96474346726225,2.1468410471632533e-05,0.9973851747747214
exp322,163.19850633822566,0.022647574538293795,0.9946704304977662
exp323,236.80229774728218,1.65325330189525,0.12024258464727339
exp324,149.50975189945433,0.00768534077404338,0.9986570182862898
exp325,96.07332482194897,5.502364704939377e-06,0.9920874265506343
exp326,139.48611733990728,8.02458778412767e-05,0.998855596385168
exp327,143.0709553870209,0.0012364115356578132,0.9939815832409604
exp328,148.070628156203,0.006811005002375143,0.9966880294201983
exp329,158.37101315865604,0.05366381723994689,0.9950608547103303
exp330,126.45486861589222,0.00011083094637474652,0.9967043795480495
exp331,124.37251108760047,7.120821241243772e-06,0.9971961828338299
exp332,104.53074459698793,0.03382444307510405,0.9906682773978166
exp333,200.34863421569202,0.004074004296748454,0.9949641880554003
exp334,129.4918860702722,1.1165311989014558e-05,0.996892660473646
exp335,120.70412690728223,0.045274168401057614,0.9929722783898692
exp336,165.76993424027748,0.0005802218476449303,0.9969265785090822
exp337,170.28155655546752,0.0026057366847300526,0.9942704847898982
exp338,184.2146240844918,0.0006856088247601576,0.9994660909393247
exp339,176.9304522151951,0.016637655416082944,0.9987090649932203
exp340,179.6293918325036,0.012218316703631044,0.9899435702518599
exp341,123.6756697801916,9.717296613893022e-06,0.9977398906359584
exp342,132.7158889677847,0.0016546992899976966,0.9965326363764887
exp343,159.91809904447257,0.027887113788101953,0.9940396542921122
exp344,228.9829699440442,0.014647623033945777,0.996172341836874
exp345,156.93398872918664,0.0002258841594838972,0.9974809477269864
exp346,140.66200861141115,2.9314220105345734e-05,0.9968957011617481
exp347,141.6155985426067,3.253999332847459e-05,0.9960677092785681
exp348,132.39327025527498,3.777686161706434e-05,0.9982264846502068
exp349,93.78033611401447,0.009613646328935287,0.9846712053340483
exp350,166.1476530735769,0.005279926320177839,0.9999552067039715
exp351,126.70003286917539,5.719341401761717e-05,0.9936801327233368
exp352,167.41559073912973,0.0005030096103166167,0.998731620889384
exp353,130.7940865239148,0.0008969079945716424,0.9976895845625904
exp354,166.14721236840683,0.030693154447747884,0.9949552763193671
exp355,134.37122558498908,0.0022808902335941694,0.9975558561010406
exp356,113.02514229738561,4.284616640410873e-05,0.9952541392298436
exp357,154.04863423852177,0.003546055378744182,0.9949435203212831
exp358,120.0054614465632,9.44777712902157e-05,0.9928492708298803
exp359,128.23486554600748,8.702531627647677e-05,0.9958309147939107
exp360,116.58323991113937,4.572243746298317e-06,0.9974298002317707
exp361,134.8876733650795,0.0005450337267071275,0.9957219484806842
exp362,202.66217629167647,0.08102006262630398,0.9984971927244912
exp363,135.4955298722969,0.007983139380676236,0.9946376476359187
exp364,123.2637209171411,0.0019881219211447263,0.997701373553052
exp365,152.58886470885332,0.0001014968333672315,0.9976724052945797
exp366,369.18451460631275,0.2397653430893977,0.4201641016008528
exp367,207.6383536660821,0.004461701873259767,0.9995544217956562
exp369,155.1064899122433,0.012781164487710227,0.990800169522282
exp370,100.1315691859173,1.1973431829032744e-05,0.9919971005649966
exp371,117.46152967900372,0.0004995100460959977,0.996809766992294
exp372,89.6697666088804,0.00637585992366817,0.9920227604007495
exp373,181.01258172479237,0.01968987637349131,0.9921296998253073
exp374,157.9859195485778,0.0022757320295999353,0.9942950252021644
exp375,171.86181971146783,0.004030225878710904,0.9911182986417658
exp376,180.71833818803117,0.018794769079525597,0.9975205247810792
exp377,131.50639140578033,1.9510861509465642e-05,0.9961939924908991
